TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 77698908, 0, 0, 0, 0.01, 0, 0, 0, 0
 77806365, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 78006285, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 78206205, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 78406125, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 78606045, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 78805965, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 79005885, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 79205805, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 79406558, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 79606478, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 79806398, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 80006318, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 80206238, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 80406158, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 80606078, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 80805998, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 81005918, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 81205838, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 81406591, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 81606511, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 81806431, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 82006351, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 82206271, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 82406191, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 82606111, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 82806031, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 83005951, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 83205871, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 83405791, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 83606544, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 83806464, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 84006384, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 84206304, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 84406224, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 84606144, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 84806064, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 85005984, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 85205904, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 85405824, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 85606577, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 85806497, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 86006417, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 86206337, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 86406257, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 86606177, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 86806097, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 87006017, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 87205937, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 87405857, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 87605777, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 87806530, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 88006450, 0, 0, 0, 0.01, 0, 0, 0, 0.01
