TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 77698908, -9.279314E-07, 4.510536E-05, -5.445685E-07, 6.484905E-06, 0, 0, 0, 0, -0.9999962, -0.002227054, 0.8458458
 77806365, 0.001296429, 1.394793, -0.03761726, 0.2019074, -0.02671697, 1.408844, 0.01956351, 0.201901, -0.9999962, -0.002215576, 28.79853
 78006285, -0.02672487, 1.416134, 0.01958116, 0.2024261, -0.000109964, 0.004194558, -5.325928E-05, 0.0005187925, -0.9999962, -0.002192907, 67.93536
 78206205, -8.893068E-05, 0.01162133, -0.000189735, 0.00104407, 7.583873E-05, 0.004111503, 5.123233E-05, 0.0005187925, -0.9999963, -0.002170803, 0.3503954
 78406125, 4.211842E-05, 0.0117238, -2.984402E-05, 0.00104407, -8.552892E-05, 0.004445169, 0.0003256067, 0.0005187925, -0.9999963, -0.002149757, 0.3503954
 78606045, -0.0002006879, 0.01185525, 0.0003734192, 0.00104407, -0.0001045286, 0.004209951, -0.0001577295, 0.0005187925, -0.9999963, -0.002127288, 0.3503954
 78805965, -0.0003741638, 0.01164864, -4.230113E-05, 0.00104407, -0.0003728959, 0.00404431, 4.167797E-05, 0.0005187925, -0.9999963, -0.002104798, 0.3503954
 79005885, -0.0002997302, 0.01152235, 0.0001521384, 0.00104407, 9.552092E-05, 0.004202788, -0.0001420764, 0.0005187925, -0.9999964, -0.002083105, 0.3503954
 79205805, 0.0001273444, 0.01169386, -0.0002728073, 0.00104407, -4.51144E-05, 0.004137324, -7.670075E-05, 0.0005187925, -0.9999964, -0.002061472, 0.3503954
 79406558, -0.0001186469, 0.01186346, 8.439539E-05, 0.001046232, -0.0002575082, 0.004423807, 0.0001854087, 0.0005209541, -0.9999965, -0.002039965, 0.3511209
 79606478, -0.0006146428, 0.01209, 0.0002146366, 0.001046232, 2.759819E-05, 0.004278493, 0.0002144527, 0.0005187925, -0.9999965, -0.002023174, 0.3511209
 79806398, -3.95005E-05, 0.01208569, 0.000263477, 0.00104407, 5.551579E-05, 0.004429325, 0.0002599475, 0.0005187925, -0.9999965, -0.002004942, 0.3503954
 80006318, 0.0001901311, 0.01205142, 0.0003769534, 0.00104407, -4.730459E-05, 0.004026383, -0.0001118189, 0.0005187925, -0.9999967, -0.001984737, 0.3503954
 80206238, -0.0001782013, 0.01139261, -7.621337E-05, 0.00104407, -0.0001381535, 0.004129931, -0.000176501, 0.0005187925, -0.9999967, -0.00196398, 0.3503954
 80406158, -0.0001538974, 0.01168716, 1.267286E-05, 0.00104407, 4.297692E-05, 0.004026906, 0.0001041079, 0.0005187925, -0.9999968, -0.00194351, 0.3503954
 80606078, -0.0001788011, 0.011647, 0.0002673248, 0.00104407, -0.0002553813, 0.004237507, 0.0002176713, 0.0005187925, -0.9999968, -0.001923265, 0.3503954
 80805998, -0.0002889035, 0.01178085, 0.0001365235, 0.00104407, -0.0001028098, 0.003974644, 5.366086E-05, 0.0005187925, -0.9999969, -0.001902304, 0.3503954
 81005918, -0.0001016718, 0.01133626, 0.0001687578, 0.00104407, -9.257506E-05, 0.003746492, -0.0001516939, 0.0005187925, -0.9999969, -0.001880954, 0.3503954
 81205838, -0.0001902319, 0.01122287, -0.0002881375, 0.00104407, -0.0001232406, 0.003981584, -0.0001315747, 0.0005187925, -0.999997, -0.001858608, 0.3503954
 81406591, -0.0003918658, 0.01164216, -1.252908E-05, 0.001046232, -0.0004655239, 0.004280662, -0.0001507382, 0.0005209541, -0.999997, -0.00183744, 0.3511209
 81606511, -0.0004636828, 0.01176959, -0.0001024135, 0.001046232, 7.714218E-05, 0.003999064, 3.870012E-05, 0.0005187925, -0.999997, -0.001815569, 0.3511209
 81806431, -0.0001091005, 0.01145358, 2.237735E-05, 0.00104407, -0.0001929941, 0.004013689, 7.130988E-05, 0.0005187925, -0.999997, -0.001793376, 0.3503954
 82006351, -0.0006227856, 0.01153601, 0.0002044658, 0.00104407, -0.0001723033, 0.004029681, 1.004294E-05, 0.0005187925, -0.9999971, -0.001771216, 0.3503954
 82206271, -0.0003305342, 0.01158615, -1.486661E-05, 0.00104407, 0.0003011713, 0.004291173, -0.0001459253, 0.0005187925, -0.9999971, -0.001748387, 0.3503954
 82406191, 4.798585E-05, 0.0117088, -4.993107E-05, 0.00104407, -0.000137615, 0.0040001, 8.326297E-05, 0.0005187925, -0.9999971, -0.001726132, 0.3503954
 82606111, -0.000136571, 0.01126886, 0.0002137104, 0.00104407, -0.0001497602, 0.003900715, 0.0001396836, 0.0005187925, -0.9999973, -0.001703572, 0.3503954
