TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 77693910, 0, 0, 0, 2.5, 0, 0, 0, 0
 77806365, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 78006285, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 78206205, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 78406125, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 78606045, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 78805965, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 79005885, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 79205805, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 79406558, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 79606478, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 79806398, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 80006318, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 80206238, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 80406158, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 80606078, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 80805998, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 81005918, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 81205838, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 81406591, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 81606511, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 81806431, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 82006351, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 82206271, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 82406191, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 82606111, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 82806031, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 83005951, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 83205871, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 83405791, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 83606544, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 83806464, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 84006384, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 84206304, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 84406224, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 84606144, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 84806064, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 85005984, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 85205904, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 85405824, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 85606577, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 85806497, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 86006417, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 86206337, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 86406257, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 86606177, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 86806097, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 87006017, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 87205937, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 87405857, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 87605777, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 87806530, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 88006450, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 88206370, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 88406290, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 88606210, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 88806130, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 89006050, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 89205970, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 89405890, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 89605810, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 89806563, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 90006483, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 90206403, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 90406323, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 90606243, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 90806163, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 91006083, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 91206003, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 91405923, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 91605843, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 91805763, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 92006516, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 92206436, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 92406356, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 92606276, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 92806196, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 93006116, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 93206036, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 93405956, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 93605876, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 93805796, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 94006549, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 94206469, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 94406389, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 94606309, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 94806229, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 95006149, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 95206069, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 95405989, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 95605909, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 95805829, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 96006582, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 96206502, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 96406422, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 96606342, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 96806262, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 97006182, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 97206102, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 97406022, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 97605942, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 97805862, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 98005782, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 98206535, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 98406455, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 98606375, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 98806295, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 99006215, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 99206135, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 99406055, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 99605975, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 99805895, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 100005815, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 100206568, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 100406488, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 100606408, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 100806328, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 101006248, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 101206168, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 101406088, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 101606008, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 101805928, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 102005848, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 102205768, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 102406521, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 102606441, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 102806361, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 103006281, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 103206201, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 103406121, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 103606041, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 103805961, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 104005881, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 104205801, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 104406554, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 104606474, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 104806394, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 105006314, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 105206234, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 105406154, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 105606074, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 105805994, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 106005914, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 106205834, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 106406587, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 106606507, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 106806427, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 107006347, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 107206267, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 107406187, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 107606107, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 107806027, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 108005947, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 108205867, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 108405787, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 108606540, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 108806460, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 109006380, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 109206300, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 109406220, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 109606140, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 109806060, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 110005980, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 110205900, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 110405820, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 110606573, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 110806493, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 111006413, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 111206333, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 111406253, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 111606173, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 111806093, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 112006013, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 112205933, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 112405853, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 112605773, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 112806526, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 113006446, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 113206366, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 113406286, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 113606206, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 113806126, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 114006046, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 114205966, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 114405886, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 114605806, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 114806559, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 115006479, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 115206399, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 115406319, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 115606239, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 115806159, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 116006079, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 116205999, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 116405919, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 116605839, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 116806592, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 117006512, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 117206432, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 117406352, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 117606272, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 117806192, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 118006112, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 118206032, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 118405952, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 118605872, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 118805792, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 119006545, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 119206465, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 119406385, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 119606305, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 119806225, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 120006145, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 120206065, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 120405985, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 120605905, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 120805825, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 121006578, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 121206498, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 121406418, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 121606338, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 121806258, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 122006178, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 122206098, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 122406018, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 122605938, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 122805858, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 123005778, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 123206531, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 123406451, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 123606371, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 123806291, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 124006211, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 124206131, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 124406051, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 124605971, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 124805891, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 125005811, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 125206564, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 125406484, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 125606404, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 125806324, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 126006244, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 126206164, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 126406084, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 126606004, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 126805924, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 127005844, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 127205764, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 127406517, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 127606437, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 127806357, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 128006277, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 128206197, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 128406117, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 128606037, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 128805957, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 129005877, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 129205797, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 129406550, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 129606470, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 129806390, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 130006310, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 130206230, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 130406150, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 130606070, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 130805990, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 131005910, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 131205830, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 131406583, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 131606503, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 131806423, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 132006343, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 132206263, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 132406183, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 132606103, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 132806023, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 133005943, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 133205863, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 133405783, 0, 0, 0, 2.5, 0, 0, 0, 2.5
