Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.3939393939393939,0.0
2,0.32320441988950277,0.0
3,0.26038781163434904,0.0
4,0.20555555555555555,0.0
5,0.16991643454038996,0.0
6,0.1424581005586592,0.0
7,0.12324929971988796,0.0
8,0.10955056179775281,0.0
9,0.09577464788732394,0.0
10,0.08192090395480225,0.0
11,0.0708215297450425,0.0
12,0.05965909090909091,0.0
13,0.04843304843304843,0.0
14,0.037142857142857144,0.0
15,0.034383954154727794,0.0
16,0.031609195402298854,0.0
17,0.02881844380403458,0.0
18,0.02601156069364162,0.0
19,0.02318840579710145,0.0
20,0.020348837209302327,0.0
21,0.01749271137026239,0.0
22,0.014619883040935672,0.0
23,0.011730205278592375,0.0
24,0.008823529411764706,0.0
25,0.0058997050147492625,0.0
26,0.0029585798816568047,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
