Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.38016528925619836,0.0
2,0.3314917127071823,0.0
3,0.296398891966759,0.0
4,0.26666666666666666,0.0
5,0.24512534818941503,0.0
6,0.22625698324022347,0.0
7,0.20728291316526612,0.0
8,0.19101123595505617,0.0
9,0.17746478873239438,0.0
10,0.16666666666666666,0.0
11,0.15864022662889518,0.0
12,0.15056818181818182,0.0
13,0.14245014245014245,0.0
14,0.13428571428571429,0.0
15,0.12607449856733524,0.0
16,0.11781609195402298,0.0
17,0.11239193083573487,0.0
18,0.1069364161849711,0.0
19,0.10144927536231885,0.0
20,0.09593023255813954,0.0
21,0.09037900874635568,0.0
22,0.0847953216374269,0.0
23,0.07917888563049853,0.0
24,0.07352941176470588,0.0
25,0.06784660766961652,0.0
26,0.05917159763313609,0.0
27,0.050445103857566766,0.0
28,0.041666666666666664,0.0
29,0.03582089552238806,0.0
30,0.029940119760479042,0.0
