Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0027548209366391185,0.3884297520661157,0.03305785123966942
2,0.0,0.356353591160221,0.0027624309392265192
3,0.0,0.3296398891966759,0.0
4,0.0,0.3055555555555556,0.0
5,0.0,0.28133704735376047,0.0
6,0.0,0.2569832402234637,0.0
7,0.0,0.23249299719887956,0.0
8,0.0,0.21348314606741572,0.0
9,0.0,0.19436619718309858,0.0
10,0.0,0.1751412429378531,0.0
11,0.0,0.1558073654390935,0.0
12,0.0,0.13920454545454544,0.0
13,0.0,0.1225071225071225,0.0
14,0.0,0.10857142857142857,0.0
15,0.0,0.09169054441260745,0.0
16,0.0,0.07471264367816093,0.0
17,0.0,0.05763688760806916,0.0
18,0.0,0.04046242774566474,0.0
19,0.0,0.03188405797101449,0.0
20,0.0,0.023255813953488372,0.0
21,0.0,0.02040816326530612,0.0
22,0.0,0.017543859649122806,0.0
23,0.0,0.01466275659824047,0.0
24,0.0,0.011764705882352941,0.0
25,0.0,0.008849557522123894,0.0
26,0.0,0.005917159763313609,0.0
27,0.0,0.002967359050445104,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
