Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.9058823529411765,0.42105263157894735,0.17647058823529413,0.706766917293233,0.0,0.0
2,0.8235294117647058,0.3106060606060606,0.09411764705882353,0.6893939393939394,0.0,0.0
3,0.6705882352941176,0.13740458015267176,0.047058823529411764,0.6717557251908397,0.0,0.0
4,0.4823529411764706,0.038461538461538464,0.023529411764705882,0.6615384615384615,0.0,0.0
5,0.23529411764705882,0.0,0.0,0.6511627906976745,0.0,0.0
6,0.16470588235294117,0.0,0.0,0.640625,0.0,0.0
7,0.09411764705882353,0.0,0.0,0.6299212598425197,0.0,0.0
8,0.07058823529411765,0.0,0.0,0.6190476190476191,0.0,0.0
9,0.07058823529411765,0.0,0.0,0.608,0.0,0.0
10,0.07058823529411765,0.0,0.0,0.5967741935483871,0.0,0.0
11,0.03529411764705882,0.0,0.0,0.5853658536585366,0.0,0.0
12,0.03529411764705882,0.0,0.0,0.5737704918032787,0.0,0.0
13,0.03529411764705882,0.0,0.0,0.5619834710743802,0.0,0.0
14,0.03529411764705882,0.0,0.0,0.55,0.0,0.0
15,0.03529411764705882,0.0,0.0,0.5378151260504201,0.0,0.0
16,0.023529411764705882,0.0,0.0,0.5254237288135594,0.0,0.0
17,0.023529411764705882,0.0,0.0,0.5128205128205128,0.0,0.0
18,0.023529411764705882,0.0,0.0,0.5,0.0,0.0
19,0.011764705882352941,0.0,0.0,0.48695652173913045,0.0,0.0
20,0.0,0.0,0.0,0.47368421052631576,0.0,0.0
21,0.0,0.0,0.0,0.46017699115044247,0.0,0.0
22,0.0,0.0,0.0,0.44642857142857145,0.0,0.0
23,0.0,0.0,0.0,0.43243243243243246,0.0,0.0
24,0.0,0.0,0.0,0.41818181818181815,0.0,0.0
25,0.0,0.0,0.0,0.4036697247706422,0.0,0.0
26,0.0,0.0,0.0,0.3888888888888889,0.0,0.0
27,0.0,0.0,0.0,0.37383177570093457,0.0,0.0
28,0.0,0.0,0.0,0.3584905660377358,0.0,0.0
29,0.0,0.0,0.0,0.34285714285714286,0.0,0.0
30,0.0,0.0,0.0,0.3269230769230769,0.0,0.0
