Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0,0.7878787878787878,0.36633663366336633,0.015151515151515152,0.0462046204620462
2,0.0,0.0,0.7727272727272727,0.33774834437086093,0.0,0.029801324503311258
3,0.0,0.0,0.7575757575757576,0.32558139534883723,0.0,0.026578073089700997
4,0.0,0.0,0.7424242424242424,0.31666666666666665,0.0,0.02
5,0.0,0.0,0.7272727272727273,0.31438127090301005,0.0,0.013377926421404682
6,0.0,0.0,0.7121212121212122,0.31208053691275167,0.0,0.006711409395973154
7,0.0,0.0,0.696969696969697,0.31313131313131315,0.0,0.0
8,0.0,0.0,0.6818181818181818,0.3141891891891892,0.0,0.0
9,0.0,0.0,0.6666666666666666,0.3152542372881356,0.0,0.0
10,0.0,0.0,0.6515151515151515,0.3163265306122449,0.0,0.0
11,0.0,0.0,0.6363636363636364,0.3174061433447099,0.0,0.0
12,0.0,0.0,0.6212121212121212,0.3184931506849315,0.0,0.0
13,0.0,0.0,0.6060606060606061,0.31958762886597936,0.0,0.0
14,0.0,0.0,0.5909090909090909,0.32068965517241377,0.0,0.0
15,0.0,0.0,0.5757575757575758,0.3217993079584775,0.0,0.0
16,0.0,0.0,0.5606060606060606,0.3229166666666667,0.0,0.0
17,0.0,0.0,0.5454545454545454,0.3240418118466899,0.0,0.0
18,0.0,0.0,0.5303030303030303,0.32517482517482516,0.0,0.0
19,0.0,0.0,0.5151515151515151,0.3263157894736842,0.0,0.0
20,0.0,0.0,0.5,0.323943661971831,0.0,0.0
21,0.0,0.0,0.48484848484848486,0.3215547703180212,0.0,0.0
22,0.0,0.0,0.4696969696969697,0.3191489361702128,0.0,0.0
23,0.0,0.0,0.45454545454545453,0.3167259786476868,0.0,0.0
24,0.0,0.0,0.4393939393939394,0.3142857142857143,0.0,0.0
25,0.0,0.0,0.42424242424242425,0.3118279569892473,0.0,0.0
26,0.0,0.0,0.4090909090909091,0.30935251798561153,0.0,0.0
27,0.0,0.0,0.3939393939393939,0.30685920577617326,0.0,0.0
28,0.0,0.0,0.3787878787878788,0.30434782608695654,0.0,0.0
29,0.0,0.0,0.36363636363636365,0.3018181818181818,0.0,0.0
30,0.0,0.0,0.3484848484848485,0.29927007299270075,0.0,0.0
