TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 2960482, 0.04127082, 0.04308299, 0.09737159, 0.04836901, 0, 0, 0, 0
 3040450, 0.01141571, -0.06232408, 0.09738465, 0.04835951, 0.04127082, 0.04308299, 0.09737159, 0.04836901
 3140410, 0.04402138, -0.02086678, 0.09739874, 0.04827052, 0.01141571, -0.06232408, 0.09738465, 0.04835951
 3240370, 0.01468283, -0.06398149, 0.09740129, 0.04833686, 0.04402138, -0.02086678, 0.09739874, 0.04827052
 3340330, 0.04070722, -0.001881744, 0.0973915, 0.04825876, 0.01468283, -0.06398149, 0.09740129, 0.04833686
 3440290, -0.06596766, 0.008326987, 0.09745568, 0.04823123, 0.04070722, -0.001881744, 0.0973915, 0.04825876
 3540250, 0.03580652, -0.02839673, 0.0974072, 0.0482429, -0.06596766, 0.008326987, 0.09745568, 0.04823123
 3640210, -0.04361825, 0.02494833, 0.09742214, 0.04822887, 0.03580652, -0.02839673, 0.0974072, 0.0482429
 3740170, 0.0498712, 0.05193242, 0.09742266, 0.04832609, -0.04361825, 0.02494833, 0.09742214, 0.04822887
 3840963, 0.06246474, 0.03381602, 0.09744401, 0.0482779, 0.0498712, 0.05193242, 0.09742266, 0.04832609
 3940923, 0.07634086, 0.05262674, 0.09748282, 0.04833077, 0.06246474, 0.03381602, 0.09744401, 0.0482779
 4040883, 0.0517934, 0.02598514, 0.09742479, 0.04825431, 0.07634086, 0.05262674, 0.09748282, 0.04833077
 4140843, -0.0521013, 0.0645248, 0.09749936, 0.04823384, 0.0517934, 0.02598514, 0.09742479, 0.04825431
 4240803, -0.03877479, 0.06994449, 0.09747656, 0.04826208, -0.0521013, 0.0645248, 0.09749936, 0.04823384
 4340763, 0.04948513, 0.02873358, 0.0974243, 0.04825221, -0.03877479, 0.06994449, 0.09747656, 0.04826208
 4440723, -0.03973649, 0.03899752, 0.09743997, 0.04821412, 0.04948513, 0.02873358, 0.0974243, 0.04825221
 4540683, 0.02227764, -0.02403283, 0.09740137, 0.04821712, -0.03973649, 0.03899752, 0.09743997, 0.04821412
 4640643, 0.08124859, 0.02952708, 0.09750405, 0.04824637, 0.02227764, -0.02403283, 0.09740137, 0.04821712
 4740603, 0.01047713, -0.0469032, 0.09740906, 0.0482473, 0.08124859, 0.02952708, 0.09750405, 0.04824637
 4840563, 0.03391341, -0.02952352, 0.09742355, 0.04820741, 0.01047713, -0.0469032, 0.09740906, 0.0482473
 4940523, -0.0383092, 0.07454969, 0.09748849, 0.04826123, 0.03391341, -0.02952352, 0.09742355, 0.04820741
 5040483, -0.01644444, -0.03043321, 0.09739326, 0.04823805, -0.0383092, 0.07454969, 0.09748849, 0.04826123
 5140443, -0.009602817, 0.04453981, 0.09740742, 0.04824201, -0.01644444, -0.03043321, 0.09739326, 0.04823805
 5240403, 0.04172176, -0.0519473, 0.09746298, 0.04821715, -0.009602817, 0.04453981, 0.09740742, 0.04824201
 5340363, 0.06223866, 0.004978864, 0.09746103, 0.04820108, 0.04172176, -0.0519473, 0.09746298, 0.04821715
 5440323, 0.0385509, -0.06400885, 0.0974732, 0.04823881, 0.06223866, 0.004978864, 0.09746103, 0.04820108
 5540283, -0.0312572, 0.02846595, 0.09742016, 0.0482056, 0.0385509, -0.06400885, 0.0974732, 0.04823881
 5640243, -0.02621727, 0.005652737, 0.09740159, 0.04820358, -0.0312572, 0.02846595, 0.09742016, 0.0482056
 5740203, 0.02249201, 0.009633903, 0.09739611, 0.0482102, -0.02621727, 0.005652737, 0.09740159, 0.04820358
 5840163, -0.05454541, 0.01977128, 0.09746166, 0.04818013, 0.02249201, 0.009633903, 0.09739611, 0.0482102
 5940956, 0.03884807, -0.03864963, 0.09744577, 0.04819878, -0.05454541, 0.01977128, 0.09746166, 0.04818013
 6040916, 0.02091916, -0.01022931, 0.09740044, 0.04819934, 0.03884807, -0.03864963, 0.09744577, 0.04819878
 6140876, 0.01599568, 0.02641969, 0.09739664, 0.04822224, 0.02091916, -0.01022931, 0.09740044, 0.04819934
 6240836, 0.02261427, 0.01572479, 0.0973987, 0.04821089, 0.01599568, 0.02641969, 0.09739664, 0.04822224
 6340796, -0.05329061, 0.05753478, 0.09750433, 0.04819685, 0.02261427, 0.01572479, 0.0973987, 0.04821089
 6440756, -0.02606918, -0.03781868, 0.09740806, 0.04824197, -0.05329061, 0.05753478, 0.09750433, 0.04819685
 6540716, -0.04209225, 0.03161924, 0.09744753, 0.04818667, -0.02606918, -0.03781868, 0.09740806, 0.04824197
 6640676, 0.03330882, 0.06391174, 0.09743136, 0.0483089, -0.04209225, 0.03161924, 0.09744753, 0.04818667
 6740636, -0.01182087, -0.07022174, 0.09743093, 0.04830521, 0.03330882, 0.06391174, 0.09743136, 0.0483089
 6840596, -0.07909182, -0.02802663, 0.09750745, 0.04822351, -0.01182087, -0.07022174, 0.09743093, 0.04830521
 6940556, -0.01872795, 0.02206923, 0.09740745, 0.04819609, -0.07909182, -0.02802663, 0.09750745, 0.04822351
 7040516, -0.07039335, -0.05083003, 0.09748575, 0.04828576, -0.01872795, 0.02206923, 0.09740745, 0.04819609
 7140476, 0.01652784, 0.04460327, 0.09740998, 0.0482437, -0.07039335, -0.05083003, 0.09748575, 0.04828576
 7240436, -0.05379093, -0.007703069, 0.09744957, 0.04818927, 0.01652784, 0.04460327, 0.09740998, 0.0482437
 7340396, 0.06820737, 0.05757044, 0.09748371, 0.04830566, -0.05379093, -0.007703069, 0.09744957, 0.04818927
