TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 8040949, 0, 0, 0, 2.5, 0, 0, 0, 0
 8220877, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 8420797, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 8620717, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 8820637, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 9020557, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 9220477, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 9420397, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 9620317, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 9820237, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 10020157, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 10220910, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 10420830, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 10620750, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 10820670, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 11020590, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 11220510, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 11420430, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 11620350, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 11820270, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 12020190, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 12220943, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 12420863, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 12620783, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 12820703, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 13020623, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 13220543, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 13420463, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 13620383, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 13820303, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 14020223, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 14220976, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 14420896, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 14620816, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 14820736, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 15020656, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 15220576, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 15420496, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 15620416, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 15820336, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 16020256, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 16220176, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 16420929, 0, 0, 0, 2.5, 0, 0, 0, 2.5
