Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.46005509641873277,0.0
2,0.35359116022099446,0.0
3,0.27146814404432135,0.0
4,0.2,0.0
5,0.14206128133704735,0.0
6,0.09776536312849161,0.0
7,0.06722689075630252,0.0
8,0.0449438202247191,0.0
9,0.028169014084507043,0.0
10,0.01977401129943503,0.0
11,0.014164305949008499,0.0
12,0.008522727272727272,0.0
13,0.005698005698005698,0.0
14,0.002857142857142857,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
