THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,669,0.5724962630792227,0.42301943198804187,0.5560538116591929
2,668,0.49550898203592814,0.38772455089820357,0.45209580838323354
3,667,0.46476761619190404,0.3538230884557721,0.4032983508245877
4,666,0.45045045045045046,0.3258258258258258,0.3768768768768769
5,665,0.43909774436090226,0.2992481203007519,0.3609022556390977
6,664,0.4292168674698795,0.2740963855421687,0.34789156626506024
7,663,0.4193061840120664,0.25037707390648567,0.334841628959276
8,662,0.4093655589123867,0.2280966767371601,0.3217522658610272
9,661,0.4009077155824508,0.20726172465960666,0.3086232980332829
10,660,0.3924242424242424,0.18787878787878787,0.296969696969697
11,659,0.38391502276176026,0.17147192716236723,0.2867981790591806
12,658,0.37537993920972645,0.15501519756838905,0.2765957446808511
13,657,0.3668188736681887,0.1385083713850837,0.2663622526636225
14,656,0.35823170731707316,0.12195121951219512,0.2576219512195122
15,655,0.34961832061068704,0.10534351145038168,0.24885496183206107
16,654,0.3409785932721712,0.09480122324159021,0.2415902140672783
17,653,0.332312404287902,0.0888208269525268,0.2343032159264931
18,652,0.3236196319018405,0.0843558282208589,0.22699386503067484
19,651,0.31490015360983103,0.07987711213517665,0.2196620583717358
20,650,0.30615384615384617,0.07538461538461538,0.2123076923076923
21,649,0.29738058551617874,0.07087827426810478,0.2049306625577812
22,648,0.28858024691358025,0.06635802469135803,0.19753086419753085
23,647,0.2797527047913447,0.061823802163833076,0.1901081916537867
24,646,0.2708978328173375,0.05727554179566564,0.18575851393188855
25,645,0.262015503875969,0.05271317829457364,0.1813953488372093
26,644,0.2531055900621118,0.04813664596273292,0.17857142857142858
27,643,0.24416796267496113,0.04354587869362364,0.17573872472783825
28,642,0.235202492211838,0.03894080996884735,0.17289719626168223
29,641,0.22620904836193448,0.0343213728549142,0.17004680187207488
30,640,0.2171875,0.0296875,0.1671875
