Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.43526170798898073,0.0
2,0.34806629834254144,0.0
3,0.27146814404432135,0.0
4,0.20833333333333334,0.0
5,0.1615598885793872,0.0
6,0.12569832402234637,0.0
7,0.10084033613445378,0.0
8,0.08707865168539326,0.0
9,0.07323943661971831,0.0
10,0.062146892655367235,0.0
11,0.053824362606232294,0.0
12,0.045454545454545456,0.0
13,0.037037037037037035,0.0
14,0.03142857142857143,0.0
15,0.02865329512893983,0.0
16,0.02586206896551724,0.0
17,0.023054755043227664,0.0
18,0.02023121387283237,0.0
19,0.017391304347826087,0.0
20,0.014534883720930232,0.0
21,0.011661807580174927,0.0
22,0.008771929824561403,0.0
23,0.005865102639296188,0.0
24,0.0029411764705882353,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
