Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.3884297520661157,0.0
2,0.34806629834254144,0.0
3,0.3185595567867036,0.0
4,0.2916666666666667,0.0
5,0.26740947075208915,0.0
6,0.24860335195530725,0.0
7,0.23249299719887956,0.0
8,0.21910112359550563,0.0
9,0.2056338028169014,0.0
10,0.19491525423728814,0.0
11,0.18696883852691218,0.0
12,0.17897727272727273,0.0
13,0.17094017094017094,0.0
14,0.16285714285714287,0.0
15,0.15472779369627507,0.0
16,0.14655172413793102,0.0
17,0.14121037463976946,0.0
18,0.13583815028901733,0.0
19,0.13043478260869565,0.0
20,0.125,0.0
21,0.119533527696793,0.0
22,0.11403508771929824,0.0
23,0.10850439882697947,0.0
24,0.10294117647058823,0.0
25,0.09734513274336283,0.0
26,0.09171597633136094,0.0
27,0.08605341246290801,0.0
28,0.07738095238095238,0.0
29,0.06865671641791045,0.0
30,0.059880239520958084,0.0
