TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 170760835, 0, 0, 0, 0.05, 0, 0, 0, 0
 170830807, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 171030727, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 171231480, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 171431400, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 171631320, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 171831240, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 172031160, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 172231080, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 172431000, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 172630920, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 172830840, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 173030760, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 173230680, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 173431433, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 173631353, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 173831273, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 174031193, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 174231113, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 174431033, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 174630953, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 174830873, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 175030793, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 175230713, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 175431466, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 175631386, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 175831306, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 176031226, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 176231146, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 176431066, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 176630986, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 176830906, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 177030826, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 177230746, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 177430666, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 177631419, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 177831339, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 178031259, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 178231179, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 178431099, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 178631019, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 178830939, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 179030859, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 179230779, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 179430699, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 179631452, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 179831372, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 180031292, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 180231212, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 180431132, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 180631052, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 180830972, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 181030892, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 181230812, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 181430732, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 181631485, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 181831405, 0, 0, 0, 0.05, 0, 0, 0, 0.05
