TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 196160671, 0, 0, 0, 0.05, 0, 0, 0, 0
 196231476, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 196431396, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 196631316, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 196831236, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 197031156, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 197231076, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 197430996, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 197630916, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 197830836, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 198030756, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 198230676, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 198431429, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 198631349, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 198831269, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 199031189, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 199231109, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 199431029, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 199630949, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 199830869, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 200030789, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 200230709, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 200431462, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 200631382, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 200831302, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 201031222, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 201231142, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 201431062, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 201630982, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 201830902, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 202030822, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 202230742, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 202430662, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 202631415, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 202831335, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 203031255, 0, 0, 0, 0.05, 0, 0, 0, 0.05
