TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 170570911, -0.001393213, -0.00524065, -0.003001237, 0.02631742, -0.02654429, 6.258134E-05, 0, 0, 0, 0, 0, 0
 170635885, -0.01908528, 0.01705987, -6.519813E-06, 0.02523201, -0.02673779, 0.4000029, -0.001393213, -0.00524065, -0.003001237, 0.02631742, -0.02654429, 6.258134E-05
 170735845, -0.008758702, 0.01632675, 1.096263E-05, 0.02542903, -0.02675033, 0.4000036, -0.01908528, 0.01705987, -6.519813E-06, 0.02523201, -0.02673779, 0.4000029
 170835805, -0.01714588, 0.02003845, 1.530967E-06, 0.02526114, -0.02668024, 0.4000037, -0.008758702, 0.01632675, 1.096263E-05, 0.02542903, -0.02675033, 0.4000036
 170935765, -0.01152526, -0.002566232, -2.546917E-05, 0.02536883, -0.02714283, 0.4000032, -0.01714588, 0.02003845, 1.530967E-06, 0.02526114, -0.02668024, 0.4000037
 171035725, 0.02468484, -0.01950994, 1.329683E-05, 0.02622211, -0.02755763, 0.4000041, -0.01152526, -0.002566232, -2.546917E-05, 0.02536883, -0.02714283, 0.4000032
 171135685, 0.00335505, -0.003230861, 8.554562E-07, 0.02568609, -0.0271582, 0.4000038, 0.02468484, -0.01950994, 1.329683E-05, 0.02622211, -0.02755763, 0.4000041
 171236478, -0.004329273, -0.02052639, -4.194854E-05, 0.02551449, -0.02758529, 0.4000027, 0.00335505, -0.003230861, 8.554562E-07, 0.02568609, -0.0271582, 0.4000038
 171336438, 0.01261543, 0.02307966, 6.152524E-05, 0.02590513, -0.02662727, 0.4000051, -0.004329273, -0.02052639, -4.194854E-05, 0.02551449, -0.02758529, 0.4000027
 171436398, -0.006309947, 0.01641848, 1.550149E-05, 0.02547145, -0.0267492, 0.4000041, 0.01261543, 0.02307966, 6.152524E-05, 0.02590513, -0.02662727, 0.4000051
 171536358, 0.01036559, 0.006274784, 2.964058E-05, 0.02584784, -0.02695209, 0.4000045, -0.006309947, 0.01641848, 1.550149E-05, 0.02547145, -0.0267492, 0.4000041
 171636318, 0.006943675, 0.02190677, 4.926819E-05, 0.02576423, -0.02664984, 0.4000049, 0.01036559, 0.006274784, 2.964058E-05, 0.02584784, -0.02695209, 0.4000045
 171736278, -0.01208286, -0.005347245, -3.142181E-05, 0.02534845, -0.02720924, 0.4000035, 0.006943675, 0.02190677, 4.926819E-05, 0.02576423, -0.02664984, 0.4000049
 171836238, -0.007344974, 0.002364223, -9.841679E-06, 0.02544212, -0.0270344, 0.4000041, -0.01208286, -0.005347245, -3.142181E-05, 0.02534845, -0.02720924, 0.4000035
 171936198, -0.009510558, 0.006913643, -6.399702E-06, 0.02539643, -0.02693729, 0.4000043, -0.007344974, 0.002364223, -9.841679E-06, 0.02544212, -0.0270344, 0.4000041
 172036158, -0.01467977, -0.0116527, -4.685586E-05, 0.02529334, -0.0273588, 0.4000035, -0.009510558, 0.006913643, -6.399702E-06, 0.02539643, -0.02693729, 0.4000043
 172136118, 0.009937458, -0.003183836, 1.342029E-05, 0.02582792, -0.02715813, 0.4000048, -0.01467977, -0.0116527, -4.685586E-05, 0.02529334, -0.0273588, 0.4000035
 172236078, 0.02271223, -0.00365201, 3.673866E-05, 0.02615342, -0.02716906, 0.4000055, 0.009937458, -0.003183836, 1.342029E-05, 0.02582792, -0.02715813, 0.4000048
 172336038, 0.01729855, 0.01124145, 5.126615E-05, 0.02601086, -0.02685103, 0.4000057, 0.02271223, -0.00365201, 3.673866E-05, 0.02615342, -0.02716906, 0.4000055
 172435998, 0.008385025, 0.01875405, 4.70376E-05, 0.02578945, -0.02670866, 0.4000054, 0.01729855, 0.01124145, 5.126615E-05, 0.02601086, -0.02685103, 0.4000057
 172535958, 0.008709343, -0.006054788, 6.284135E-06, 0.02579939, -0.02722785, 0.4000044, 0.008385025, 0.01875405, 4.70376E-05, 0.02578945, -0.02670866, 0.4000054
 172635918, 0.005058144, -0.02364368, -2.981322E-05, 0.02571545, -0.02767104, 0.4000034, 0.008709343, -0.006054788, 6.284135E-06, 0.02579939, -0.02722785, 0.4000044
 172735878, -0.01929644, -0.01089408, -5.402962E-05, 0.02521183, -0.02734045, 0.400003, 0.005058144, -0.02364368, -2.981322E-05, 0.02571545, -0.02767104, 0.4000034
