TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 196458885, 0, 0, 0, 0.01, 0, 0, 0, 0
 196631316, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 196831236, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 197031156, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 197231076, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 197430996, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 197630916, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 197830836, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 198030756, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 198230676, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 198431429, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 198631349, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 198831269, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 199031189, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 199231109, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 199431029, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 199630949, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 199830869, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 200030789, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 200230709, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 200431462, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 200631382, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 200831302, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 201031222, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 201231142, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 201431062, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 201630982, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 201830902, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 202030822, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 202230742, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 202430662, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 202631415, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 202831335, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 203031255, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 203231175, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 203431095, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 203631015, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 203830935, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 204030855, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 204230775, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 204430695, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 204631448, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 204831368, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 205031288, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 205231208, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 205431128, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 205631048, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 205830968, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 206030888, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 206230808, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 206430728, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 206631481, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 206831401, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 207031321, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 207231241, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 207431161, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 207631081, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 207831001, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 208030921, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 208230841, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 208430761, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 208630681, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 208831434, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 209031354, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 209231274, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 209431194, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 209631114, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 209831034, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 210030954, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 210230874, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 210430794, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 210630714, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 210831467, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 211031387, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 211231307, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 211431227, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 211631147, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 211831067, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 212030987, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 212230907, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 212430827, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 212630747, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 212830667, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 213031420, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 213231340, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 213431260, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 213631180, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 213831100, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 214031020, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 214230940, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 214430860, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 214630780, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 214830700, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 215031453, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 215231373, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 215431293, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 215631213, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 215831133, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 216031053, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 216230973, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 216430893, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 216630813, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 216830733, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 217031486, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 217231406, 0, 0, 0, 0.01, 0, 0, 0, 0.01
