TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 140993580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141093540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141193500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141294293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141394253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141494213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141594173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141694133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141794093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141894053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141994013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142113965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142213925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142313885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142413845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142513805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142613765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142713725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142813685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142913645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143013605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143113565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143213525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143313485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143414278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143514238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143614198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143714158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143814118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143914078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144014038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144113998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144233950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144333910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144433870, -0.1135621, 0.0112512, -0.01847555, 0.1088524, -0.0075, 0.994059, 0, 0, 0, 0, 0, 0
 144533830, -0.672244, 0.07536606, 0.04118681, 0.3037762, -0.02598948, 0.9733713, -0.1135621, 0.0112512, -0.01847555, 0.1088524, -0.0075, 0.994059
 144633790, 0.1846575, -0.02213508, -0.05037792, 0.1970736, -0.01347244, 0.9844093, -0.672244, 0.07536606, 0.04118681, 0.3037762, -0.02598948, 0.9733713
 144733750, 0.09484518, -0.008656849, -0.03582167, 0.1427372, -0.00831671, 0.9902419, 0.1846575, -0.02213508, -0.05037792, 0.1970736, -0.01347244, 0.9844093
 144833710, 0.0568801, -0.007309009, -0.06186386, 0.1302872, -0.01134834, 0.9915819, 0.09484518, -0.008656849, -0.03582167, 0.1427372, -0.00831671, 0.9902419
 144933670, 0.03163751, -0.002785328, -0.06412682, 0.1267613, -0.01277942, 0.9919218, 0.0568801, -0.007309009, -0.06186386, 0.1302872, -0.01134834, 0.9915819
 145033630, 0.01860333, 0.0009721171, -0.06266437, 0.1282575, -0.01304598, 0.9917012, 0.03163751, -0.002785328, -0.06412682, 0.1267613, -0.01277942, 0.9919218
 145133590, -0.001435559, 8.093176E-05, -0.06028688, 0.1289061, -0.01009948, 0.9916298, 0.01860333, 0.0009721171, -0.06266437, 0.1282575, -0.01304598, 0.9917012
 145233550, -0.01380181, -6.914028E-05, -0.04864794, 0.1312511, -0.009738248, 0.9913198, -0.001435559, 8.093176E-05, -0.06028688, 0.1289061, -0.01009948, 0.9916298
 145333510, -0.02783169, 0.003785884, -0.0518222, 0.1310814, -0.01028073, 0.9913363, -0.01380181, -6.914028E-05, -0.04864794, 0.1312511, -0.009738248, 0.9913198
 145434303, -0.04420443, 0.0007937505, -0.05478042, 0.1309557, -0.0118779, 0.9913321, -0.02783169, 0.003785884, -0.0518222, 0.1310814, -0.01028073, 0.9913363
 145534263, -0.06241519, 0.007767175, -0.05214999, 0.1333518, -0.01149835, 0.9910204, -0.04420443, 0.0007937505, -0.05478042, 0.1309557, -0.0118779, 0.9913321
 145634223, -0.09167497, 0.01386239, -0.04804907, 0.134823, -0.009785144, 0.9908427, -0.06241519, 0.007767175, -0.05214999, 0.1333518, -0.01149835, 0.9910204
 145734183, -0.1242983, 0.01138338, -0.07376947, 0.1373777, -0.009061486, 0.9904982, -0.09167497, 0.01386239, -0.04804907, 0.134823, -0.009785144, 0.9908427
 145834143, -0.1654242, 0.01571538, -0.03737958, 0.1422008, -0.006976492, 0.9898415, -0.1242983, 0.01138338, -0.07376947, 0.1373777, -0.009061486, 0.9904982
 145934103, -0.1856373, 0.01613194, -0.02883014, 0.1474309, -0.007139655, 0.9890831, -0.1654242, 0.01571538, -0.03737958, 0.1422008, -0.006976492, 0.9898415
 146034063, -0.2441743, 0.02840519, -0.02975027, 0.154769, -0.00851096, 0.9879937, -0.1856373, 0.01613194, -0.02883014, 0.1474309, -0.007139655, 0.9890831
 146134023, -0.3159857, 0.03329691, -0.04481475, 0.1612412, -0.01113195, 0.9870439, -0.2441743, 0.02840519, -0.02975027, 0.154769, -0.00851096, 0.9879937
 146253975, -0.4834959, 0.05557473, 0.01969888, 0.1894648, -0.01586038, 0.9829519, -0.3159857, 0.03329691, -0.04481475, 0.1612412, -0.01113195, 0.9870439
 146353935, -0.5619956, 0.07129557, -0.008179478, 0.2062473, -0.0172989, 0.980411, -0.4834959, 0.05557473, 0.01969888, 0.1894648, -0.01586038, 0.9829519
 146453895, -1.369733, 0.1601377, 0.1119953, 0.502487, -0.04967803, 0.9364722, -0.5619956, 0.07129557, -0.008179478, 0.2062473, -0.0172989, 0.980411
 146553855, -2.334554, 0.2667821, 0.2866302, 1.039593, -0.1097862, 0.8563552, -1.369733, 0.1601377, 0.1119953, 0.502487, -0.04967803, 0.9364722
 146653815, 39.04938, -4.452394, -5.859411, 43.11917, -4.906652, -5.397682, -2.334554, 0.2667821, 0.2866302, 1.039593, -0.1097862, 0.8563552
 146753775, 2.857173, -0.3168314, -0.4889291, 13.84467, -1.550498, -1.064457, 39.04938, -4.452394, -5.859411, 43.11917, -4.906652, -5.397682
 146853735, 2.760076, -0.3145775, -0.4755552, 9.662394, -1.081451, -0.4409499, 2.857173, -0.3168314, -0.4889291, 13.84467, -1.550498, -1.064457
 146953695, 1.926548, -0.215874, -0.3529569, 2.427214, -0.2667577, 0.6431614, 2.760076, -0.3145775, -0.4755552, 9.662394, -1.081451, -0.4409499
 147053655, 1.278866, -0.1494768, -0.2501901, 0.8995655, -0.08906183, 0.8747299, 1.926548, -0.215874, -0.3529569, 2.427214, -0.2667577, 0.6431614
 147153615, 0.862016, -0.1000461, -0.1895433, 0.4569187, -0.03422337, 0.9428686, 1.278866, -0.1494768, -0.2501901, 0.8995655, -0.08906183, 0.8747299
 147253575, 0.9812716, -0.1185474, -0.2070674, 0.5352172, -0.04150994, 0.9312945, 0.862016, -0.1000461, -0.1895433, 0.4569187, -0.03422337, 0.9428686
 147353535, 0.91193, -0.105239, -0.1965602, 0.4690469, -0.03376107, 0.9412118, 0.9812716, -0.1185474, -0.2070674, 0.5352172, -0.04150994, 0.9312945
 147453495, 0.7824649, -0.08000024, -0.1736689, 0.3795924, -0.02380396, 0.9540941, 0.91193, -0.105239, -0.1965602, 0.4690469, -0.03376107, 0.9412118
 147554288, 0.6092858, -0.06659617, -0.1886324, 0.2948001, -0.01507101, 0.9667591, 0.7824649, -0.08000024, -0.1736689, 0.3795924, -0.02380396, 0.9540941
 147654248, 0.5753094, -0.06843361, -0.1783146, 0.2775608, -0.01531652, 0.9694166, 0.6092858, -0.06659617, -0.1886324, 0.2948001, -0.01507101, 0.9667591
 147754208, 0.5068758, -0.05047363, -0.1708037, 0.2474292, -0.01239936, 0.9743866, 0.5753094, -0.06843361, -0.1783146, 0.2775608, -0.01531652, 0.9694166
 147854168, 0.5303578, -0.05562961, -0.1308428, 0.2454315, -0.01289648, 0.9752592, 0.5068758, -0.05047363, -0.1708037, 0.2474292, -0.01239936, 0.9743866
 147954128, 0.526209, -0.05823871, -0.1332241, 0.2382402, -0.01305913, 0.9766797, 0.5303578, -0.05562961, -0.1308428, 0.2454315, -0.01289648, 0.9752592
 148054088, 0.4397445, -0.04537482, -0.1244875, 0.2090064, -0.01024922, 0.9810188, 0.526209, -0.05823871, -0.1332241, 0.2382402, -0.01305913, 0.9766797
 148154048, 0.5242086, -0.0738408, -0.1283404, 0.2256819, -0.0114871, 0.9792573, 0.4397445, -0.04537482, -0.1244875, 0.2090064, -0.01024922, 0.9810188
 148254008, 0.4311127, -0.03952846, -0.1148947, 0.1974106, -0.005177715, 0.9831017, 0.5242086, -0.0738408, -0.1283404, 0.2256819, -0.0114871, 0.9792573
 148373960, 0.4257851, -0.05166486, -0.1129474, 0.1919839, -0.005901413, 0.9840132, 0.4311127, -0.03952846, -0.1148947, 0.1974106, -0.005177715, 0.9831017
 148473920, 0.4153364, -0.06323747, -0.1102237, 0.1853649, -0.006600234, 0.9850751, 0.4257851, -0.05166486, -0.1129474, 0.1919839, -0.005901413, 0.9840132
 148573880, 0.425218, -0.06112463, -0.1040048, 0.1811519, -0.006387524, 0.9859344, 0.4153364, -0.06323747, -0.1102237, 0.1853649, -0.006600234, 0.9850751
 148673840, 0.4342909, -0.04028205, -0.103186, 0.1783306, -0.006242026, 0.9865066, 0.425218, -0.06112463, -0.1040048, 0.1811519, -0.006387524, 0.9859344
 148773800, 0.4255874, -0.04238453, -0.100996, 0.1730504, -0.005478512, 0.987282, 0.4342909, -0.04028205, -0.103186, 0.1783306, -0.006242026, 0.9865066
 148873760, 0.41924, -0.04304574, -0.09844676, 0.1668104, -0.004884128, 0.9882319, 0.4255874, -0.04238453, -0.100996, 0.1730504, -0.005478512, 0.987282
 148973720, 0.4067813, -0.05809965, -0.06513917, 0.1585294, -0.005450692, 0.9893824, 0.41924, -0.04304574, -0.09844676, 0.1668104, -0.004884128, 0.9882319
 149073680, 0.3864446, -0.03377173, -0.09165078, 0.1511731, -0.004030561, 0.9903051, 0.4067813, -0.05809965, -0.06513917, 0.1585294, -0.005450692, 0.9893824
 149173640, 0.4175342, -0.05962469, -0.06857049, 0.1534962, -0.004784576, 0.9902546, 0.3864446, -0.03377173, -0.09165078, 0.1511731, -0.004030561, 0.9903051
 149273600, 0.4285207, -0.06645437, -0.06845365, 0.1526948, -0.003446384, 0.9904944, 0.4175342, -0.05962469, -0.06857049, 0.1534962, -0.004784576, 0.9902546
 149373560, 0.4250342, -0.04892566, -0.06590708, 0.1466985, -0.001845091, 0.9913199, 0.4285207, -0.06645437, -0.06845365, 0.1526948, -0.003446384, 0.9904944
 149473520, 0.384164, -0.05509645, -0.09106264, 0.1355529, -0.00208965, 0.9924903, 0.4250342, -0.04892566, -0.06590708, 0.1466985, -0.001845091, 0.9913199
 149573480, 0.3507101, -0.0428948, -0.05661505, 0.1212299, -0.03186315, 0.9935161, 0.384164, -0.05509645, -0.09106264, 0.1355529, -0.00208965, 0.9924903
 149674273, 0.3956325, -0.01865707, -0.08476401, 0.1134778, -0.09914147, 0.9903548, 0.3507101, -0.0428948, -0.05661505, 0.1212299, -0.03186315, 0.9935161
 149774233, 0.3633087, -0.0301536, -0.0815371, 0.09286547, -0.1698198, 0.9825864, 0.3956325, -0.01865707, -0.08476401, 0.1134778, -0.09914147, 0.9903548
 149874193, 0.3698983, -0.02538773, -0.07858907, 0.08270091, -0.2114991, 0.9754171, 0.3633087, -0.0301536, -0.0815371, 0.09286547, -0.1698198, 0.9825864
 149974153, 0.3697694, -0.04277281, -0.05110458, 0.08052895, -0.2139125, 0.9750645, 0.3698983, -0.02538773, -0.07858907, 0.08270091, -0.2114991, 0.9754171
 150074113, 0.3640521, -0.03751133, -0.01927119, 0.08377019, -0.1834671, 0.9809241, 0.3697694, -0.04277281, -0.05110458, 0.08052895, -0.2139125, 0.9750645
 150174073, 0.385625, -0.03131831, -0.01910404, 0.09154909, -0.1395021, 0.9876055, 0.3640521, -0.03751133, -0.01927119, 0.08377019, -0.1834671, 0.9809241
 150274033, 0.3649857, -0.04673872, -0.01934241, 0.08953812, -0.1048054, 0.9919167, 0.385625, -0.03131831, -0.01910404, 0.09154909, -0.1395021, 0.9876055
 150373993, 0.3485884, -0.02036597, -0.04426467, 0.08383644, -0.08600345, 0.9941091, 0.3649857, -0.04673872, -0.01934241, 0.08953812, -0.1048054, 0.9919167
 150493945, 0.3530065, -0.03812428, -0.04877749, 0.07717692, -0.08867482, 0.9944403, 0.3485884, -0.02036597, -0.04426467, 0.08383644, -0.08600345, 0.9941091
 150593905, 0.3270526, -0.02575373, -0.04012026, 0.06755961, -0.09934347, 0.9939689, 0.3530065, -0.03812428, -0.04877749, 0.07717692, -0.08867482, 0.9944403
 150693865, 0.3320516, -0.03518575, -0.04015494, 0.06359047, -0.1090492, 0.9932413, 0.3270526, -0.02575373, -0.04012026, 0.06755961, -0.09934347, 0.9939689
 150793825, 0.3170979, -0.02573317, -0.03746196, 0.05723771, -0.1128881, 0.9931161, 0.3320516, -0.03518575, -0.04015494, 0.06359047, -0.1090492, 0.9932413
 150893785, 0.3531581, -0.01536556, -0.004329866, 0.05614557, -0.1092134, 0.9937977, 0.3170979, -0.02573317, -0.03746196, 0.05723771, -0.1128881, 0.9931161
 150993745, 0.3646246, -0.01796998, -0.002396136, 0.05176695, -0.09888606, 0.9951894, 0.3531581, -0.01536556, -0.004329866, 0.05614557, -0.1092134, 0.9937977
 151093705, 0.3285532, -0.01071346, 7.536775E-05, 0.04264727, -0.0856979, 0.9966269, 0.3646246, -0.01796998, -0.002396136, 0.05176695, -0.09888606, 0.9951894
 151193665, 0.3617621, -0.01588796, -0.02958778, 0.04476136, -0.07676689, 0.9974574, 0.3285532, -0.01071346, 7.536775E-05, 0.04264727, -0.0856979, 0.9966269
 151293625, 0.3205534, -0.03983572, -0.03139779, 0.03824471, -0.07232064, 0.997817, 0.3617621, -0.01588796, -0.02958778, 0.04476136, -0.07676689, 0.9974574
 151393585, 0.375185, -0.02083389, 0.002351566, 0.04086521, -0.07124867, 0.9981225, 0.3205534, -0.03983572, -0.03139779, 0.03824471, -0.07232064, 0.997817
 151493545, 0.3168277, -0.02483694, -0.02781676, 0.03045104, -0.0709061, 0.9981689, 0.375185, -0.02083389, 0.002351566, 0.04086521, -0.07124867, 0.9981225
 151593505, 0.3498491, -0.01837573, 0.003819493, 0.03298635, -0.07174094, 0.9982157, 0.3168277, -0.02483694, -0.02781676, 0.03045104, -0.0709061, 0.9981689
 151694298, 0.3691318, -0.0350527, 0.00331873, 0.03366151, -0.07208844, 0.9982867, 0.3498491, -0.01837573, 0.003819493, 0.03298635, -0.07174094, 0.9982157
 151794258, 0.3517163, -0.01364054, 0.006135939, 0.02790348, -0.07020313, 0.9984924, 0.3691318, -0.0350527, 0.00331873, 0.03366151, -0.07208844, 0.9982867
 151894218, 0.3235489, -0.03306569, 0.005209717, 0.02075147, -0.06642369, 0.9987627, 0.3517163, -0.01364054, 0.006135939, 0.02790348, -0.07020313, 0.9984924
 151994178, 0.3122329, -0.01654316, 0.007484647, 0.01582364, -0.061198, 0.9991328, 0.3235489, -0.03306569, 0.005209717, 0.02075147, -0.06642369, 0.9987627
 152094138, 0.3299169, -0.008694666, 0.009931134, 0.01393581, -0.05559238, 0.9995818, 0.3122329, -0.01654316, 0.007484647, 0.01582364, -0.061198, 0.9991328
 152194098, 0.3110344, -0.003189573, 0.01109889, 0.007352471, -0.0509991, 0.9998021, 0.3299169, -0.008694666, 0.009931134, 0.01393581, -0.05559238, 0.9995818
 152294058, 0.3322054, -0.03261392, 0.01047228, 0.008287624, -0.0487474, 1.000008, 0.3110344, -0.003189573, 0.01109889, 0.007352471, -0.0509991, 0.9998021
 152394018, 0.3517181, -0.03180343, 0.01238171, 0.007737126, -0.04599847, 1.000255, 0.3322054, -0.03261392, 0.01047228, 0.008287624, -0.0487474, 1.000008
 152513970, 0.3340683, -0.0240652, 0.01433532, -0.0009574704, -0.04439567, 1.000256, 0.3517181, -0.03180343, 0.01238171, 0.007737126, -0.04599847, 1.000255
 152613930, 0.3570173, -0.01721328, 0.016919, -0.00116355, -0.04426715, 1.000397, 0.3340683, -0.0240652, 0.01433532, -0.0009574704, -0.04439567, 1.000256
 152713890, 0.3161982, -0.03490441, 0.0143705, -0.008152716, -0.04592787, 1.000057, 0.3570173, -0.01721328, 0.016919, -0.00116355, -0.04426715, 1.000397
 152813850, 0.3283408, -0.01904301, 0.01625627, -0.007483393, -0.04511753, 1.000166, 0.3161982, -0.03490441, 0.0143705, -0.008152716, -0.04592787, 1.000057
 152913810, 0.3549907, -0.02843416, 0.01734042, -0.004837275, -0.04399329, 1.000383, 0.3283408, -0.01904301, 0.01625627, -0.007483393, -0.04511753, 1.000166
 153013770, 0.3549268, -0.0003118534, 0.01966346, -0.00661578, -0.04130504, 1.000496, 0.3549907, -0.02843416, 0.01734042, -0.004837275, -0.04399329, 1.000383
 153113730, 0.3580907, -0.015816, 0.01990353, -0.008867458, -0.03998195, 1.000546, 0.3549268, -0.0003118534, 0.01966346, -0.00661578, -0.04130504, 1.000496
 153213690, 0.3069611, 0.0002152864, 0.01896824, -0.01866212, -0.03509681, 1.000321, 0.3580907, -0.015816, 0.01990353, -0.008867458, -0.03998195, 1.000546
 153313650, 0.2937436, -0.02197675, 0.0178369, -0.02282699, -0.03160459, 1.000281, 0.3069611, 0.0002152864, 0.01896824, -0.01866212, -0.03509681, 1.000321
 153413610, 0.3215734, -0.03366306, 0.01989477, -0.02208228, -0.02979971, 1.000484, 0.2937436, -0.02197675, 0.0178369, -0.02282699, -0.03160459, 1.000281
 153513570, 0.3355831, -0.02043348, 0.02268146, -0.02399451, -0.0285004, 1.000557, 0.3215734, -0.03366306, 0.01989477, -0.02208228, -0.02979971, 1.000484
 153613530, 0.3012837, -0.003268624, 0.02169912, -0.0301091, -0.02624173, 1.000286, 0.3355831, -0.02043348, 0.02268146, -0.02399451, -0.0285004, 1.000557
 153713490, 0.3311439, -0.0300171, 0.02326378, -0.02837631, -0.0260845, 1.000481, 0.3012837, -0.003268624, 0.02169912, -0.0301091, -0.02624173, 1.000286
 153814283, 0.3246264, -0.01413177, 0.02329771, -0.02865052, -0.02612378, 1.000442, 0.3311439, -0.0300171, 0.02326378, -0.02837631, -0.0260845, 1.000481
 153914243, 0.3427943, -0.03151989, 0.0241989, -0.02742191, -0.02635815, 1.000565, 0.3246264, -0.01413177, 0.02329771, -0.02865052, -0.02612378, 1.000442
 154014203, 0.3095723, -0.03086632, 0.02242217, -0.03349298, -0.02555077, 1.000224, 0.3427943, -0.03151989, 0.0241989, -0.02742191, -0.02635815, 1.000565
 154114163, 0.326196, -0.03047493, 0.02410847, -0.03265671, -0.02446475, 1.000364, 0.3095723, -0.03086632, 0.02242217, -0.03349298, -0.02555077, 1.000224
 154214123, 0.3636681, -0.0007523177, 0.02897072, -0.02988852, -0.02154678, 1.000748, 0.326196, -0.03047493, 0.02410847, -0.03265671, -0.02446475, 1.000364
 154314083, 0.3147857, -0.01153066, 0.0252104, -0.03756808, -0.01801099, 1.000277, 0.3636681, -0.0007523177, 0.02897072, -0.02988852, -0.02154678, 1.000748
 154414043, 0.3575859, -0.005354242, 0.0293546, -0.03356305, -0.01499608, 1.00071, 0.3147857, -0.01153066, 0.0252104, -0.03756808, -0.01801099, 1.000277
 154514003, 0.3632301, -0.02873483, 0.02916631, -0.033126, -0.01439994, 1.000761, 0.3575859, -0.005354242, 0.0293546, -0.03356305, -0.01499608, 1.00071
 154633955, 0.3065006, -0.02679685, 0.02493579, -0.04141515, -0.01465973, 1.000132, 0.3632301, -0.02873483, 0.02916631, -0.033126, -0.01439994, 1.000761
 154733915, 0.3362838, -0.01612147, 0.02843668, -0.03981509, -0.01478869, 1.000354, 0.3065006, -0.02679685, 0.02493579, -0.04141515, -0.01465973, 1.000132
 154833875, 0.3562715, -0.02873058, 0.03051258, -0.03932546, -0.01339602, 1.000507, 0.3362838, -0.01612147, 0.02843668, -0.03981509, -0.01478869, 1.000354
 154933835, 0.3235335, -0.01621734, 0.03080885, 0.04400461, 0.01885446, 0.01076835, 0.3562715, -0.02873058, 0.03051258, -0.03932546, -0.01339602, 1.000507
 155033795, 0.3057953, -0.02082312, 0.02778373, -0.04983794, -0.008412035, 0.9998134, 0.3235335, -0.01621734, 0.03080885, 0.04400461, 0.01885446, 0.01076835
 155133755, 0.3342871, -0.004910058, 0.03098541, -0.04679089, -0.004911369, 1.00014, 0.3057953, -0.02082312, 0.02778373, -0.04983794, -0.008412035, 0.9998134
 155233715, 0.3183996, -0.01205261, 0.02951402, -0.04920483, -0.002970733, 0.9999411, 0.3342871, -0.004910058, 0.03098541, -0.04679089, -0.004911369, 1.00014
 155333675, 0.3330864, -0.02765999, 0.06120861, -0.04853031, -0.003132183, 1.000064, 0.3183996, -0.01205261, 0.02951402, -0.04920483, -0.002970733, 0.9999411
 155433635, 0.3303618, -0.02143035, 0.06092449, -0.0483927, -0.003187096, 1.000057, 0.3330864, -0.02765999, 0.06120861, -0.04853031, -0.003132183, 1.000064
 155533595, 0.3368968, -0.01552448, 0.03121705, -0.04702667, -0.003308753, 1.000144, 0.3303618, -0.02143035, 0.06092449, -0.0483927, -0.003187096, 1.000057
 155633555, 0.3497428, -0.01619948, 0.05766571, -0.04547922, -0.004037112, 1.000306, 0.3368968, -0.01552448, 0.03121705, -0.04702667, -0.003308753, 1.000144
 155733515, 0.3351692, -0.02177464, 0.06120597, -0.0473796, -0.0049765, 1.000124, 0.3497428, -0.01619948, 0.05766571, -0.04547922, -0.004037112, 1.000306
 155833475, 0.3457068, -0.01604011, 0.03201943, -0.04594819, -0.006130021, 1.000233, 0.3351692, -0.02177464, 0.06120597, -0.0473796, -0.0049765, 1.000124
 155934268, 0.325831, 0.01065259, 0.03103219, -0.04914792, -0.005993402, 0.9999772, 0.3457068, -0.01604011, 0.03201943, -0.04594819, -0.006130021, 1.000233
 156034228, 0.328382, -0.01165963, 0.05117515, -0.04964266, -0.006319398, 0.9999648, 0.325831, 0.01065259, 0.03103219, -0.04914792, -0.005993402, 0.9999772
 156134188, 0.3653282, -0.02374961, 0.0648484, -0.04560219, -0.006699938, 1.000394, 0.328382, -0.01165963, 0.05117515, -0.04964266, -0.006319398, 0.9999648
 156234148, 0.3158655, -0.009828403, 0.03066406, -0.05369969, -0.005476385, 0.9996796, 0.3653282, -0.02374961, 0.0648484, -0.04560219, -0.006699938, 1.000394
 156334108, 0.3453311, -0.001634095, 0.06356177, -0.04859423, -0.004814144, 1.000139, 0.3158655, -0.009828403, 0.03066406, -0.05369969, -0.005476385, 0.9996796
 156434068, 0.356117, -0.01359765, 0.03439708, -0.04809282, -0.004728826, 1.00021, 0.3453311, -0.001634095, 0.06356177, -0.04859423, -0.004814144, 1.000139
 156534028, 0.3452719, -0.004162218, 0.06362279, -0.04888219, -0.003337111, 1.00013, 0.356117, -0.01359765, 0.03439708, -0.04809282, -0.004728826, 1.00021
 156653980, 0.3281853, -0.003772058, 0.06238631, -0.05234426, -0.00220813, 0.9998519, 0.3452719, -0.004162218, 0.06362279, -0.04888219, -0.003337111, 1.00013
 156753940, 0.3545776, -0.005915826, 0.06536496, -0.04988731, -0.0008736514, 1.000149, 0.3281853, -0.003772058, 0.06238631, -0.05234426, -0.00220813, 0.9998519
 156853900, 0.344533, -0.0004464663, 0.03461972, -0.05253587, 0.002734158, 0.9999261, 0.3545776, -0.005915826, 0.06536496, -0.04988731, -0.0008736514, 1.000149
 156953860, 0.3699614, 0.004419502, 0.03723658, -0.04890545, 0.005366447, 1.00028, 0.344533, -0.0004464663, 0.03461972, -0.05253587, 0.002734158, 0.9999261
 157053820, 0.3211148, 0.0006232812, 0.06216852, -0.0543754, 0.006275316, 0.9996865, 0.3699614, 0.004419502, 0.03723658, -0.04890545, 0.005366447, 1.00028
 157153780, 0.3586191, -0.02080076, 0.03518361, -0.04879343, 0.005604973, 1.000192, 0.3211148, 0.0006232812, 0.06216852, -0.0543754, 0.006275316, 0.9996865
 157253740, 0.3227378, -0.01771915, 0.03151254, -0.05316176, 0.006097162, 0.9997356, 0.3586191, -0.02080076, 0.03518361, -0.04879343, 0.005604973, 1.000192
 157353700, 0.3263486, -0.01055095, 0.03170661, -0.05195301, 0.005218595, 0.9998286, 0.3227378, -0.01771915, 0.03151254, -0.05316176, 0.006097162, 0.9997356
 157453660, 0.3783634, -0.01451436, 0.06662694, -0.04351125, 0.004477515, 1.000618, 0.3263486, -0.01055095, 0.03170661, -0.05195301, 0.005218595, 0.9998286
 157553620, 0.3484737, 0.009885123, 0.03390001, -0.04826175, 0.005293959, 1.000166, 0.3783634, -0.01451436, 0.06662694, -0.04351125, 0.004477515, 1.000618
 157653580, 0.3530368, -0.01161782, 0.06406903, -0.04674136, 0.005048103, 1.000281, 0.3484737, 0.009885123, 0.03390001, -0.04826175, 0.005293959, 1.000166
 157753540, 0.3907837, 2.47662E-05, 0.03834101, -0.04311408, 0.006134967, 1.000716, 0.3530368, -0.01161782, 0.06406903, -0.04674136, 0.005048103, 1.000281
 157853500, 0.3785087, 0.006242517, 0.06775571, -0.04552788, 0.0068518, 1.000533, 0.3907837, 2.47662E-05, 0.03834101, -0.04311408, 0.006134967, 1.000716
 157954293, 0.3767043, -0.008134384, 0.03749073, -0.04205171, 0.008163192, 0.9530428, 0.3785087, 0.006242517, 0.06775571, -0.04552788, 0.0068518, 1.000533
 158054253, 0.3334351, -0.011468, 0.03304867, -0.05268989, 0.008202966, 0.9998153, 0.3767043, -0.008134384, 0.03749073, -0.04205171, 0.008163192, 0.9530428
 158154213, 0.3494678, 0.008900716, 0.06495277, -0.04995931, 0.01034089, 1.000075, 0.3334351, -0.011468, 0.03304867, -0.05268989, 0.008202966, 0.9998153
 158254173, 0.3414512, -0.01723129, 0.06347448, -0.04965423, 0.009953996, 1.000026, 0.3494678, 0.008900716, 0.06495277, -0.04995931, 0.01034089, 1.000075
 158354133, 0.3287866, 0.01146058, 0.03267727, -0.05300323, 0.0115822, 0.9997485, 0.3414512, -0.01723129, 0.06347448, -0.04965423, 0.009953996, 1.000026
 158454093, 0.3383464, -0.01754996, 0.06425241, -0.05312115, 0.01093911, 0.9998181, 0.3287866, 0.01146058, 0.03267727, -0.05300323, 0.0115822, 0.9997485
 158554053, 0.358908, -0.01283205, 0.03639455, -0.05106144, 0.01130424, 1.000049, 0.3383464, -0.01754996, 0.06425241, -0.05312115, 0.01093911, 0.9998181
 158654013, 0.3353152, 0.001999833, 0.03367781, -0.05323126, 0.01173413, 0.999773, 0.358908, -0.01283205, 0.03639455, -0.05106144, 0.01130424, 1.000049
 158773965, 0.3923459, -0.01758021, 0.03928782, -0.0445488, 0.01142968, 1.000635, 0.3353152, 0.001999833, 0.03367781, -0.05323126, 0.01173413, 0.999773
