TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 195760831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 195830803, 0.005159203, -0.01094277, -0.002613226, 0.02646549, -0.02668056, 5.898163E-05, 0, 0, 0, 0, 0, 0
 196030723, 0, 0, 0, 0.02646549, -0.02668056, 5.898163E-05, 0.005159203, -0.01094277, -0.002613226, 0.02646549, -0.02668056, 5.898163E-05
 196231476, 0.01303201, -0.01030706, 8.252662E-06, 0.02627393, -0.02765553, 0.4000071, 0, 0, 0, 0.02646549, -0.02668056, 5.898163E-05
 196431396, -0.005030674, -0.01208979, -2.826127E-05, 0.02585904, -0.02770043, 0.4000059, 0.01303201, -0.01030706, 8.252662E-06, 0.02627393, -0.02765553, 0.4000071
 196631316, -0.0007870514, 0.01771595, 2.625894E-05, 0.025952, -0.02705323, 0.400007, -0.005030674, -0.01208979, -2.826127E-05, 0.02585904, -0.02770043, 0.4000059
 196831236, 0.01382098, -0.009368198, 1.116175E-05, 0.02629272, -0.02763559, 0.400007, -0.0007870514, 0.01771595, 2.625894E-05, 0.025952, -0.02705323, 0.400007
 197031156, 0.02261154, -0.00806545, 2.984636E-05, 0.0265181, -0.02760574, 0.4000077, 0.01382098, -0.009368198, 1.116175E-05, 0.02629272, -0.02763559, 0.400007
 197231076, -0.01047011, -0.01144526, -3.77999E-05, 0.02573797, -0.02769067, 0.4000059, 0.02261154, -0.00806545, 2.984636E-05, 0.0265181, -0.02760574, 0.4000077
 197430996, -0.02214549, 0.01611476, -1.617453E-05, 0.02551582, -0.02709187, 0.4000063, -0.01047011, -0.01144526, -3.77999E-05, 0.02573797, -0.02769067, 0.4000059
 197630916, 0.004536418, -0.01086836, -8.814621E-06, 0.02606441, -0.02768255, 0.400006, -0.02214549, 0.01611476, -1.617453E-05, 0.02551582, -0.02709187, 0.4000063
 197830836, -0.006783534, -0.009343766, -2.774318E-05, 0.02581603, -0.02764895, 0.4000053, 0.004536418, -0.01086836, -8.814621E-06, 0.02606441, -0.02768255, 0.400006
 198030756, -0.01414913, -0.006630367, -3.731195E-05, 0.02566624, -0.02758609, 0.4000051, -0.006783534, -0.009343766, -2.774318E-05, 0.02581603, -0.02764895, 0.4000053
