TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 157954293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158054253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158154213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158254173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158354133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158454093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158554053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158654013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158773965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158873925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158973885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159073845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159173805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159273765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159373725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159473685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159573645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159673605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159773565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159873525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159973485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160074278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160174238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160274198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160374158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160474118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160574078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160674038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160773998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160893950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160993910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161093870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161193830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161293790, -0.06615403, 0.005718337, 0.006057552, 0.00717896, 0.001539769, -0.0006016397, 0, 0, 0, 0, 0, 0
 161393750, -0.2825172, 0.02998565, -0.0320189, 0.1198214, -0.01002267, 0.9929762, -0.06615403, 0.005718337, 0.006057552, 0.00717896, 0.001539769, -0.0006016397
 161493710, 0.4140398, -0.04604974, -0.07282515, 0.5424544, -0.05432294, 0.9493875, -0.2825172, 0.02998565, -0.0320189, 0.1198214, -0.01002267, 0.9929762
 161593670, 0.1268779, -0.01653607, -0.07401086, 0.1559692, -0.008926217, 0.9889885, 0.4140398, -0.04604974, -0.07282515, 0.5424544, -0.05432294, 0.9493875
 161693630, 0.05810129, -0.009178876, -0.06695016, 0.131099, -0.001794405, 0.9915563, 0.1268779, -0.01653607, -0.07401086, 0.1559692, -0.008926217, 0.9889885
 161793590, 0.03667022, -0.003230579, -0.06462996, 0.1273349, 0.002879434, 0.9919416, 0.05810129, -0.009178876, -0.06695016, 0.131099, -0.001794405, 0.9915563
 161893550, 0.0242711, -8.581937E-05, -0.0330387, 0.1251306, 0.004593625, 0.9921787, 0.03667022, -0.003230579, -0.06462996, 0.1273349, 0.002879434, 0.9919416
 161993510, 0.01295054, -0.001391582, -0.03173951, 0.1245715, 0.003296791, 0.9922385, 0.0242711, -8.581937E-05, -0.0330387, 0.1251306, 0.004593625, 0.9921787
 162094303, -0.004916159, 0.002312618, -0.02961931, 0.1237885, 0.001558322, 0.9923295, 0.01295054, -0.001391582, -0.03173951, 0.1245715, 0.003296791, 0.9922385
 162194263, -0.02009364, 0.001074911, -0.05798262, 0.1256118, -0.0006547282, 0.9920976, -0.004916159, 0.002312618, -0.02961931, 0.1237885, 0.001558322, 0.9923295
 162294223, -0.03331358, 0.0040582, -0.05629791, 0.126415, -0.002597054, 0.9919923, -0.02009364, 0.001074911, -0.05798262, 0.1256118, -0.0006547282, 0.9920976
 162394183, -0.04964481, 0.002362065, -0.05413744, 0.1290634, -0.005085246, 0.9916394, -0.03331358, 0.0040582, -0.05629791, 0.126415, -0.002597054, 0.9919923
 162494143, -0.08307517, 0.006318149, -0.04956141, 0.131878, -0.004802311, 0.9912709, -0.04964481, 0.002362065, -0.05413744, 0.1290634, -0.005085246, 0.9916394
 162594103, -0.1035327, 0.008304182, -0.04164639, 0.1342106, -0.001441002, 0.9909707, -0.08307517, 0.006318149, -0.04956141, 0.131878, -0.004802311, 0.9912709
 162694063, -0.1407037, 0.009522283, -0.0467691, 0.1354138, 0.0008665966, 0.9908102, -0.1035327, 0.008304182, -0.04164639, 0.1342106, -0.001441002, 0.9909707
 162794023, -0.1772342, 0.01479804, -0.03666315, 0.1384386, 0.001490931, 0.9904016, -0.1407037, 0.009522283, -0.0467691, 0.1354138, 0.0008665966, 0.9908102
 162913975, -0.2226477, 0.02887947, -0.03542668, 0.1422461, -0.0006378526, 0.989894, -0.1772342, 0.01479804, -0.03666315, 0.1384386, 0.001490931, 0.9904016
 163013935, -0.2816541, 0.03333071, -0.01735055, 0.148037, -0.004406549, 0.9891062, -0.2226477, 0.02887947, -0.03542668, 0.1422461, -0.0006378526, 0.989894
 163113895, -0.4422503, 0.05021836, -9.183213E-05, 0.1739952, -0.008540466, 0.9855365, -0.2816541, 0.03333071, -0.01735055, 0.148037, -0.004406549, 0.9891062
 163213855, -0.5635832, 0.05726701, 0.01202691, 0.2003701, -0.01119106, 0.9818541, -0.4422503, 0.05021836, -9.183213E-05, 0.1739952, -0.008540466, 0.9855365
 163313815, -0.6034831, 0.06434364, 0.0223823, 0.2082462, -0.01302965, 0.9807941, -0.5635832, 0.05726701, 0.01202691, 0.2003701, -0.01119106, 0.9818541
 163413775, -1.04267, 0.119739, 0.08459034, 0.3510462, -0.03162097, 0.9607843, -0.6034831, 0.06434364, 0.0223823, 0.2082462, -0.01302965, 0.9807941
 163513735, -1.889773, 0.214542, 0.211315, 0.7597321, -0.07949476, 0.9026246, -1.04267, 0.119739, 0.08459034, 0.3510462, -0.03162097, 0.9607843
 163613695, -2.04487, 0.2411947, 0.2289726, 0.8363475, -0.08659136, 0.8915924, -1.889773, 0.214542, 0.211315, 0.7597321, -0.07949476, 0.9026246
 163713655, -10.29455, 1.199762, 1.382676, 7.657688, -0.8793801, -0.06740832, -2.04487, 0.2411947, 0.2289726, 0.8363475, -0.08659136, 0.8915924
