TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 170358496, -4.072902E-06, 5.348203E-05, -1.987616E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999977, -0.001449278, 1.854556
 170430967, -0.3025461, 3.670489, -0.1938639, 0.4422685, -0.2259416, 2.834943, 0.1693808, 0.442262, -0.9999977, -0.00144966, 27.83018
 170630887, -0.2260046, 2.842483, 0.1691289, 0.4427881, -0.0001654832, 0.004424527, -0.0003299763, 0.0005187925, -0.9999977, -0.0014474, 148.6017
 170830807, -0.0003553916, 0.01174414, -0.0004247467, 0.00104407, -1.52036E-05, 0.004344316, -0.0002288129, 0.0005187925, -0.9999977, -0.00144437, 0.3503954
 171030727, -0.0001486338, 0.01168154, -0.0005414334, 0.00104407, 8.557957E-06, 0.004389989, 5.352382E-05, 0.0005187925, -0.9999977, -0.001441103, 0.3503954
 171231480, 0.0003306789, 0.01173734, -0.0001914069, 0.001046232, 0.0002354045, 0.004456775, -0.0003357692, 0.0005209541, -0.9999977, -0.001435929, 0.3511209
 171431400, 8.439796E-05, 0.01184737, -0.000623161, 0.001046232, 0.0001346638, 0.004278424, 0.0001269643, 0.0005187925, -0.9999977, -0.001433114, 0.3511209
 171631320, 0.0001266411, 0.01166447, -0.0003221034, 0.00104407, 0.0002634504, 0.004601824, -0.0002871759, 0.0005187925, -0.9999977, -0.00142888, 0.3503954
 171831240, 0.0001792884, 0.01212109, -0.0005262724, 0.00104407, 0.0002371247, 0.004338731, 0.0003310119, 0.0005187925, -0.9999977, -0.001421673, 0.3503954
 172031160, 0.0002521283, 0.01203542, 0.0001801451, 0.00104407, 9.788805E-05, 0.004763969, -0.0001260885, 0.0005187925, -0.9999977, -0.001415, 0.3503954
 172231080, 0.0002531187, 0.01209719, -0.0004167092, 0.00104407, -0.0002143071, 0.003953455, -0.0003456831, 0.0005187925, -0.9999977, -0.001407962, 0.3503954
 172431000, 1.716427E-05, 0.01124751, -0.0004616439, 0.00104407, 0.0002387031, 0.004077672, 3.013597E-06, 0.0005187925, -0.9999977, -0.001400471, 0.3503954
 172630920, 0.0004293938, 0.01146095, 1.193157E-05, 0.00104407, -0.0001510966, 0.004286844, 0.0003393186, 0.0005187925, -0.9999977, -0.001408582, 0.3503954
 172830840, 8.111037E-06, 0.0117938, 0.0005346197, 0.00104407, -3.399332E-05, 0.004370972, -5.20748E-05, 0.0005187925, -0.9999977, -0.001415977, 0.3503954
 173030760, -0.000325264, 0.01167918, -0.0003398607, 0.00104407, -0.0005321185, 0.004033744, -0.0004073135, 0.0005187925, -0.9999977, -0.001422529, 0.3503954
 173230680, -0.0005289069, 0.01146483, -0.0007679669, 0.00104407, -0.0001019967, 0.004297264, -0.0002187474, 0.0005187925, -0.9999977, -0.001428359, 0.3503954
 173431433, -0.0002535431, 0.01193648, -0.0004850168, 0.001046232, 0.00015303, 0.004525263, -0.0005906104, 0.0005209541, -0.9999977, -0.001433283, 0.3511209
 173631353, 0.0001219018, 0.01218258, -0.0009262157, 0.001046232, 0.0003046714, 0.004526908, 4.80257E-05, 0.0005187925, -0.9999976, -0.001437524, 0.3511209
 173831273, 0.0004326183, 0.01192616, -0.0001249815, 0.00104407, 0.000146138, 0.003887119, 5.071994E-05, 0.0005187925, -0.9999976, -0.001441673, 0.3503954
 174031193, 0.0002163862, 0.01129961, -0.0001570729, 0.00104407, 0.0002478801, 0.004034216, -0.0004421777, 0.0005187925, -0.9999976, -0.001445998, 0.3503954
 174231113, 1.641145E-05, 0.01123782, -0.0005979578, 0.00104407, -4.514125E-05, 0.003833098, 0.0004684743, 0.0005187925, -0.9999976, -0.001448976, 0.3503954
 174431033, -0.0001911712, 0.01131421, 0.0007114033, 0.00104407, -0.0001319372, 0.004421168, -2.570316E-05, 0.0005187925, -0.9999976, -0.00145025, 0.3503954
