TimeUS,CAN,CAE,CAD,CAe
 157954293, -0.002784766, 0.003560096, -6.095593E-05, 0.0002615578
 158054253, -0.002773659, 0.00363892, -8.32034E-05, 0.0002593962
 158154213, -0.00285976, 0.003446398, 2.343194E-05, 0.0002593962
 158254173, 0.01084985, 0.00207627, -8.501466E-05, 0.0002593962
 158354133, 0.07345013, -0.005033076, -0.0002756256, 0.0002593962
 158454093, 0.1651929, -0.01482665, 0.0003625468, 0.0002593962
 158554053, 0.2697062, -0.02693696, 0.00369258, 0.0002593962
 158654013, 0.3767217, -0.03628655, 0.006895939, 0.0002593962
 158773965, 0.6037323, -0.06187447, 0.01201965, 0.0003112754
 158873925, 0.6076906, -0.06361396, 0.01218953, 0.0002593962
 158973885, 0.7065187, -0.07384076, 0.01446459, 0.0002593962
 159073845, 0.8033633, -0.08343863, 0.01642375, 0.0002593962
 159173805, 0.8858896, -0.09046248, 0.01870508, 0.0002593962
 159273765, 0.9498785, -0.1017374, 0.02068518, 0.0002593962
 159373725, 0.954969, -0.1016892, 0.02254997, 0.0002593962
 159473685, 0.9375772, -0.09425677, 0.02270013, 0.0002593962
 159573645, 0.893124, -0.09332833, 0.02243602, 0.0002593962
 159673605, 0.846473, -0.09217519, 0.02153377, 0.0002593962
 159773565, 0.7981452, -0.0925943, 0.02010606, 0.0002593962
 159873525, 0.7430938, -0.07317489, -0.01595229, 0.0002593962
 159973485, 0.7016174, -0.07153454, -0.04390764, 0.0002593962
 160074278, 0.6626176, -0.07368124, -0.009531582, 0.0002615578
 160174238, 0.6029363, -0.06605159, 0.02576716, 0.0002593962
 160274198, 0.9193257, -0.094673, -0.2062624, 0.0002593962
 160374158, 0.8857266, -0.08306967, -0.5320263, 0.0002593962
 160474118, 0.8164293, -0.07229438, -0.5511752, 0.0002593962
 160574078, 0.7495648, -0.07806605, -0.4550281, 0.0002593962
 160674038, 0.6995767, -0.08155943, -0.3014849, 0.0002593962
 160773998, 0.6657575, -0.0848726, -0.1772567, 0.0002593962
 160893950, 0.7606086, -0.09584457, -0.2247434, 0.0003112754
 160993910, 0.5765721, -0.06608433, -0.2136572, 0.0002593962
 161093870, 0.5285277, -0.04424576, -0.2477746, 0.0002593962
 161193830, 0.4922058, -0.03693049, -0.2300659, 0.0002593962
 161293790, 0.4602272, -0.04974075, -0.2000192, 0.0002593962
 161393750, 0.4266327, -0.05289447, -0.1649636, 0.0002593962
 161493710, 0.3929126, -0.04201272, -0.1731296, 0.0002593962
 161593670, 0.3713575, -0.03085331, -0.1477391, 0.0002593962
 161693630, 0.3304853, -0.03711903, -0.1839193, 0.0002593962
 161793590, 0.3023197, -0.0299961, -0.1708525, 0.0002593962
 161893550, 0.2872706, -0.0364419, -0.1084922, 0.0002593962
 161993510, 0.2702819, -0.03963654, -0.09721687, 0.0002593962
 162094303, 0.2453439, -0.03612793, -0.1009591, 0.0002593962
 162194263, 0.2252026, -0.02086999, -0.1091105, 0.0002615578
 162294223, 0.2084218, -0.01976696, -0.09720646, 0.0002593962
 162394183, 0.1905675, -0.01289918, -0.1087882, 0.0002593962
 162494143, 0.1696504, -0.009120896, -0.1254374, 0.0002593962
 162594103, 0.1517646, -0.01801865, -0.1208061, 0.0002593962
 162694063, 0.1453106, -0.03564237, -0.05081769, 0.0002593962
 162794023, 0.1339549, -0.02876126, -0.0462424, 0.0002593962
 162913975, 0.1538358, -0.01637813, -0.05361769, 0.0003112754
 163013935, 0.1158387, -0.008704904, -0.03599912, 0.0002593962
 163113895, 0.1052336, -0.02085178, -0.03958137, 0.0002593962
 163213855, 0.08898551, -0.01400323, -0.05943149, 0.0002593962
 163313815, 0.0823766, -0.0165912, -0.03615437, 0.0002593962
 163413775, 0.07418714, -0.004708818, -0.02194295, 0.0002593962
 163513735, 0.05757033, -0.004349228, -0.07467364, 0.0002593962
 163613695, 0.05608933, -0.01281717, -0.04297357, 0.0002593962
 163713655, 0.05215532, -0.01060138, -0.007495694, 0.0002593962
 163813615, 0.04626888, -0.003223454, -0.001798015, 0.0002593962
 163913575, 0.0354643, -0.002859608, -0.05096816, 0.0002593962
 164013535, 0.03829139, 0.009252694, -0.03654521, 0.0002593962
 164113495, 0.04031923, 0.00640366, -0.0192426, 0.0002593962
 164214288, 0.03537524, -0.006906075, 0.007927807, 0.0002615578
 164314248, 0.0406824, -0.005205983, 0.05134138, 0.0002593962
 164414208, 0.0187423, -0.008493779, -0.04135008, 0.0002593962
 164514168, 0.02273811, -0.006778637, -0.01740583, 0.0002593962
 164614128, 0.02752774, -0.004607494, 0.01668272, 0.0002593962
 164714088, 0.02309025, -0.003467866, 0.004482774, 0.0002593962
 164814048, 0.04612801, -0.003586694, 0.08367855, 0.0002593962
 164914008, 0.04494257, -0.00117385, 0.09545189, 0.0002593962
 165033960, 0.04731133, -0.007708009, 0.1000261, 0.0003112754
 165133920, 0.04019161, -0.01853501, 0.08072359, 0.0002593962
 165233880, 0.04641876, -0.006105417, 0.1156397, 0.0002593962
 165333840, 0.05283067, 0.005095138, 0.1242345, 0.0002593962
 165433800, 0.0524975, 0.008836599, 0.09932767, 0.0002593962
 165533760, 0.03516416, -0.01123067, 0.06225532, 0.0002593962
 165633720, 0.009924307, -0.01146803, 0.08989494, 0.0002593962
 165733680, 0.001028495, -0.001936799, 0.1007136, 0.0002593962
 165833640, -0.008286029, -0.002351343, 0.07407669, 0.0002593962
 165933600, 0.004700076, -0.003746482, 0.07905715, 0.0002593962
 166033560, 0.01621889, 0.002574702, 0.1134322, 0.0002593962
 166133520, 0.023824, -0.0008058099, 0.1021832, 0.0002593962
 166233480, 0.02150453, -0.004509606, 0.06331241, 0.0002593962
 166334273, 0.02107967, -0.007113219, 0.06535424, 0.0002615578
 166434233, 0.0194963, -0.004324995, 0.1003745, 0.0002593962
 166534193, 0.02027627, -0.009274936, 0.08361658, 0.0002593962
 166634153, 0.002510286, -0.01436275, 0.0703824, 0.0002593962
 166734113, -0.001392839, -0.003611483, 0.08919814, 0.0002593962
 166834073, -0.005111538, 0.0370348, 0.1037452, 0.0002593962
 166934033, -0.009001096, 0.06471188, 0.1247314, 0.0002593962
 167033993, -0.008078995, 0.06453734, 0.1622651, 0.0002593962
 167153945, -0.02523953, 0.05425936, 0.1384699, 0.0003112754
 167253905, -0.03001196, 0.01916871, 0.09927341, 0.0002593962
 167353865, -0.02967668, 0.007113932, 0.08846752, 0.0002593962
 167453825, -0.02991155, 0.008941589, 0.1133344, 0.0002593962
 167553785, -0.0288613, 0.009829922, 0.104575, 0.0002593962
 167653745, -0.02673111, 0.03255488, 0.1325441, 0.0002593962
 167753705, -0.01907643, 0.03994635, 0.1190111, 0.0002593962
 167853665, -0.02966997, 0.03337171, 0.108602, 0.0002593962
 167953625, -0.02574261, 0.02718012, 0.1006559, 0.0002593962
 168053585, -0.02748143, 0.0276342, 0.08219577, 0.0002593962
 168153545, -0.03292591, 0.02274646, 0.09172575, 0.0002593962
 168253505, -0.03039973, 0.02187821, 0.08109581, 0.0002593962
 168354298, -0.0337365, 0.0002007028, 0.128647, 0.0002593962
 168454258, -0.02385164, 0.006807707, 0.1226487, 0.0002615578
 168554218, -0.02560901, 0.01429081, 0.1231367, 0.0002593962
 168654178, -0.02632203, 0.0237623, 0.08982383, 0.0002593962
 168754138, -0.02835415, 0.026063, 0.0763953, 0.0002593962
 168854098, -0.03430517, 0.02199101, 0.04803584, 0.0002593962
 168954058, -0.02850327, 0.01750832, 0.09039741, 0.0002593962
 169054018, -0.02352788, 0.01989308, 0.1160267, 0.0002593962
 169173970, -0.02361833, 0.02787283, 0.1627123, 0.0003112754
 169273930, -0.0103021, 0.006857, 0.1486248, 0.0002593962
 169373890, -0.0137819, 0.007920541, 0.09823526, 0.0002593962
 169473850, -0.01541255, 0.004202094, 0.08319185, 0.0002593962
 169573810, -0.01021863, 0.02093603, 0.04378722, 0.0002593962
 169673770, -0.008543573, 0.02518303, 0.04471838, 0.0002593962
 169773730, -0.0140301, 0.01911978, 0.027306, 0.0002593962
 169873690, -0.01263053, 0.01175797, 0.02615866, 0.0002593962
 169973650, -0.0167101, 0.003452968, 0.06975988, 0.0002593962
 170073610, -0.01716422, 0.00161122, 0.09898642, 0.0002593962
 170173570, -0.01486119, 0.0156259, 0.07985885, 0.0002593962
 170273530, -0.003693646, 0.02126006, 0.06174619, 0.0002593962
 170373490, -0.00511333, 0.01829818, 0.07936438, 0.0002593962
 170474283, -0.003023077, -0.001904929, 0.0943485, 0.0002615578
 170574243, 1.304396E-05, 0.002855748, 0.07260396, 0.0002593962
 170674203, -0.005479259, -0.000517821, 0.05107758, 0.0002593962
 170774163, -0.003631736, -0.001265285, 0.02946725, 0.0002593962
 170874123, -0.004797281, 0.003195368, -0.01003336, 0.0002593962
 170974083, -0.008360364, 0.01825941, -0.001005219, 0.0002593962
 171074043, -0.004497899, 0.02061558, 0.04666497, 0.0002593962
 171174003, -0.003615448, 0.01219698, 0.03717608, 0.0002593962
 171293955, -0.01039954, 0.008829542, 0.03355186, 0.0003112754
