TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 1920898, 0.03954163, 0.0236364, 0.09728408, 0.04849193, 0, 0, 0, 0
 1940890, -0.06015116, 0.01034272, 0.0973365, 0.04844565, 0.03954163, 0.0236364, 0.09728408, 0.04849193
 2040850, -0.0466357, 0.05738559, 0.09735626, 0.04847008, -0.06015116, 0.01034272, 0.0973365, 0.04844565
 2140810, 0.0693895, 0.05694862, 0.09735733, 0.04856318, -0.0466357, 0.05738559, 0.09735626, 0.04847008
 2240770, 0.02455873, 0.02850538, 0.09728568, 0.04846266, 0.0693895, 0.05694862, 0.09735733, 0.04856318
 2340730, -0.01388769, 0.01671005, 0.09728968, 0.04841987, 0.02455873, 0.02850538, 0.09728568, 0.04846266
 2440690, -0.0007730946, -0.0295585, 0.09729813, 0.04841769, -0.01388769, 0.01671005, 0.09728968, 0.04841987
 2540650, -0.06298292, 0.03242078, 0.09740889, 0.04834762, -0.0007730946, -0.0295585, 0.09729813, 0.04841769
 2640610, 0.03975889, -0.01237896, 0.09734762, 0.04834986, -0.06298292, 0.03242078, 0.09740889, 0.04834762
 2740570, 0.05591579, 0.02258874, 0.09737596, 0.04836298, 0.03975889, -0.01237896, 0.09734762, 0.04834986
 2840530, -0.04535958, -0.01094157, 0.09736561, 0.04832997, 0.05591579, 0.02258874, 0.09737596, 0.04836298
 2940490, 0.04126953, 0.0430842, 0.09737013, 0.04837189, -0.04535958, -0.01094157, 0.09736561, 0.04832997
 3040450, 0.0114157, -0.06232406, 0.09738462, 0.0483595, 0.04126953, 0.0430842, 0.09737013, 0.04837189
 3140410, 0.04402137, -0.02086678, 0.0973987, 0.0482705, 0.0114157, -0.06232406, 0.09738462, 0.0483595
 3240370, 0.01468283, -0.06398147, 0.09740126, 0.04833684, 0.04402137, -0.02086678, 0.0973987, 0.0482705
 3340330, 0.0407072, -0.001881741, 0.09739147, 0.04825874, 0.01468283, -0.06398147, 0.09740126, 0.04833684
 3440290, -0.06596764, 0.008326983, 0.09745565, 0.04823121, 0.0407072, -0.001881741, 0.09739147, 0.04825874
 3540250, 0.03580651, -0.02839672, 0.09740717, 0.04824289, -0.06596764, 0.008326983, 0.09745565, 0.04823121
 3640210, -0.04361824, 0.02494833, 0.09742211, 0.04822885, 0.03580651, -0.02839672, 0.09740717, 0.04824289
 3740170, 0.04987118, 0.05193241, 0.09742263, 0.04832607, -0.04361824, 0.02494833, 0.09742211, 0.04822885
